a_term	b_term	len(a_b_intersect)	len(a_term_set)	len(b_term_set)	n_articles	pmid_intersection	pvalue	run_time	sort_ratio
levocetirizine	pruritus	32	426	17167	33810017	"{28511488, 26633089, 30376706, 15480324, 15853959, 23942038, 20480793, 19860762, 20377116, 23282334, 19053988, 16874418, 28081586, 18761784, 12911418, 23147964, 24673474, 11859651, 16650180, 16910288, 24307924, 18651988, 19430742, 34179031, 31519068, 17163229, 32916325, 29507561, 30745975, 34464376, 20226302, 19808127}"	4.86E-58	0.01028143	0.001864041
recombinant human gad65	gad	19	36	10945	33810017	"{10891904, 9300229, 9058186, 7772701, 8969635, 9339684, 8933286, 11532327, 21395375, 15992379, 7783365, 17325256, 9451598, 18830927, 9757911, 10673368, 24598244, 8370667, 9483382}"	4.15E-57	0.013849977	0.001735952
khellin	angina	31	341	54733	33810017	"{14848389, 6421255, 13021567, 15432461, 14877201, 14793361, 14795033, 14792730, 14824862, 14904352, 13409314, 14924454, 14924456, 12982441, 14905898, 14424745, 13043375, 13043376, 14919343, 13008310, 13061944, 14893241, 14888509, 13561807, 13153762, 14806755, 14943722, 15402097, 13816307, 14387959, 15432447}"	1.82E-43	0.032891128	0.000566386
recombinate	hemophilia	18	101	12874	33810017	"{1421824, 11547361, 12098083, 8623140, 8167332, 27214819, 19137127, 12098088, 19707401, 14584967, 1448776, 1421823, 9134639, 31850352, 12008945, 16163220, 17456190, 9160671}"	1.01E-42	0.011141872	0.001398167
clotrimazole	otitis externa	22	2656	1886	33810017	"{28594048, 14998407, 20347664, 34226449, 22688793, 9065882, 29165345, 25031085, 12081339, 16474052, 33718990, 9230670, 14682457, 16238809, 28501466, 24579301, 11779301, 15183592, 15491051, 22529649, 18852977, 29757562}"	3.58E-40	0.002588753	0.011664899
doxylamine succinate	vomiting	23	98	72692	33810017	"{3400069, 27881103, 24548499, 24748822, 32623767, 34808217, 2874910, 15625257, 23696171, 28090157, 12214324, 19923636, 27731292, 23166178, 22190950, 25884778, 25663469, 20843504, 11118967, 24527483, 21079545, 33049467, 6708478}"	5.56E-40	0.036956384	0.000316403
1-methylpyrene	polycyclic	16	38	30328	33810017	"{10469624, 25025602, 27501763, 33171047, 8472328, 34695688, 11321288, 23611659, 19481134, 24802129, 32899285, 18788758, 11754295, 3599094, 24337722, 20391135}"	3.82E-39	0.017539841	0.000527565
minirin	nocturnal	18	63	38136	33810017	"{9165600, 6163201, 8493474, 9165603, 11192770, 9165605, 568870, 29484228, 9165611, 25745483, 3371214, 35046231, 10191892, 7970999, 14586363, 8149177, 9054075, 9158268}"	2.15E-38	0.022697893	0.000471995
minoxidil	sodium retention	21	2014	2429	33810017	"{1029893, 6985752, 21786, 7442081, 7230242, 304292, 7009831, 443947, 2857516, 6156348, 6156349, 6994495, 6108737, 6156357, 603847, 6156363, 1534292, 21896152, 7160416, 2880494, 7432694}"	3.30E-38	0.002643256	0.008645533
insulin peglispro	type 1 diabetes	16	38	44882	33810017	"{28817248, 27393697, 28328234, 29160108, 27486125, 27265390, 26278063, 29316143, 27723226, 27169522, 28587667, 28417532, 27484021, 27393722, 27723228, 27188479}"	2.01E-36	0.009325468	0.00035649
other quinolones	methicillin resistant staphylococcus aureus	23	393	23742	33810017	"{8723467, 14638477, 32738837, 2942103, 16940059, 7559198, 1317281, 20065058, 10747819, 8394816, 26794819, 8935122, 9687379, 2732120, 9106012, 3571042, 3144547, 25604710, 17890283, 30957167, 7646580, 1330421, 3473910}"	2.14E-36	0.006756976	0.000968747
cefpodoxime	bronchitis	27	849	22471	33810017	"{7699846, 2681864, 7783315, 8833562, 8371496, 1726206, 2292532, 11810485, 2292535, 21455420, 7824317, 16896576, 14498754, 17296462, 17402834, 8752860, 2810723, 8043747, 2562789, 2562790, 2810725, 2810726, 2810729, 2810732, 7990261, 8746104, 7792126}"	6.86E-36	0.014050202	0.001201549
dimenhydrinate	nystagmus	20	372	13857	33810017	"{26475420, 13310365, 3929760, 13039392, 29238692, 6332454, 22506537, 7159338, 2683568, 23252288, 16047682, 4024910, 12189776, 15823712, 24782447, 31750127, 21142898, 3994616, 135163, 21401214}"	9.68E-36	0.00947467	0.001443314
arbekacin	chronic bronchitis	19	415	10018	33810017	"{17180803, 19024644, 15376784, 25980050, 25980051, 25980052, 10923284, 14692377, 26182813, 12532637, 9503780, 9755430, 10480048, 8721076, 8752860, 16161758, 8851305, 11560054, 8072190}"	2.42E-35	0.003498735	0.001896586
insulin degludec and liraglutide	hypoglycemia	14	30	31624	33810017	"{22435393, 25697410, 27943107, 30308134, 25114296, 26894800, 27467569, 25876562, 33132503, 28332144, 27484310, 28799414, 25816888, 31347100}"	5.61E-35	0.024954764	0.000442702
naftifine	onychomycosis	13	182	3436	33810017	"{10439936, 8393313, 27537822, 34725278, 12499173, 32635240, 32232786, 7619094, 28894295, 8444055, 27386459, 15189181, 32406142}"	2.95E-33	0.003580502	0.003783469
myrbetriq	overactive bladder	9	10	6846	33810017	"{28025920, 23459457, 31961826, 23319844, 31085638, 32728649, 23818156, 34056686, 25565203}"	5.69E-33	0.003549573	0.001314636
tenofovir alafenamide	proteinuria	28	761	41400	33810017	"{25102336, 32787843, 25867913, 31601174, 28558493, 26627107, 28272164, 30167339, 27130284, 32065713, 34044856, 28677314, 31464642, 27828808, 24872136, 32189003, 32925387, 31679186, 27190354, 27753684, 30932951, 26829661, 30515426, 27673443, 32703729, 25890673, 32757496, 33273214}"	1.15E-31	0.08353194	0.000676329
fludrocortisone	adrenal function	17	1218	3452	33810017	"{6758113, 34324679, 6486151, 31149134, 29568655, 15542960, 15836793, 21686452, 16259572, 34463766, 18434902, 24683477, 15251609, 6325050, 25066331, 24755997, 18787390}"	8.76E-31	0.002322577	0.004924681
staurosporine	ptp	29	8541	5150	33810017	"{19217411, 12444550, 1622407, 16092946, 10803607, 16162972, 7616427, 10437164, 16481323, 9606958, 8764975, 14666168, 16327993, 12764093, 14561215, 8779841, 12459463, 15209419, 10501196, 15210575, 11811535, 7537105, 10600535, 15963994, 16027232, 16793699, 8220908, 8930166, 24282237}"	5.91E-29	0.003804039	0.005631068
cetirizine hydrochloride	allergic rhinitis	13	78	19089	33810017	"{26345920, 17042147, 18405155, 15633894, 10876807, 29798120, 12592651, 29798123, 24992750, 10478514, 11765592, 32853084, 26964157}"	1.26E-28	0.005068458	0.00068102
tranilast	allergy	29	658	70895	33810017	"{1434116, 33383049, 26011018, 1434132, 12672153, 7690011, 1375005, 34135201, 2459939, 22753703, 15486771, 9178940, 18271809, 1514948, 16313925, 7505860, 10772941, 3814221, 1711310, 7913297, 29107673, 1384414, 3220322, 22330086, 23121382, 23821545, 33149556, 7687418, 20335611}"	1.90E-28	0.037092913	0.000409056
vitamin k	chronic atrial fibrillation	26	16619	1983	33810017	"{20139651, 31771529, 25440788, 12659605, 31781781, 15071257, 16711200, 10796453, 34123949, 21910061, 18844728, 17102654, 7724354, 20858185, 21430608, 32665940, 30181717, 25501413, 22669799, 23514988, 9296238, 16444657, 21686645, 10741238, 17925502, 10835711}"	4.21E-28	0.002331471	0.013111447
venofer	chronic kidney disease	15	81	57824	33810017	"{27296257, 20466657, 15522403, 19891683, 25925701, 19517894, 30947751, 29934762, 23701359, 19200274, 19432851, 21439379, 22629113, 17704954, 18786076}"	2.29E-26	0.012546664	0.000259408
spiperone	hyperactivity	39	2623	50037	33810017	"{6834436, 2889605, 3220106, 6962442, 6149133, 4040977, 2551698, 6804884, 3938840, 6543001, 3941414, 3114664, 28116523, 6133932, 7906989, 9164590, 9708848, 2571700, 9761463, 2947255, 8616504, 8000442, 7198139, 8105798, 7912134, 6682440, 6539859, 2987476, 8665555, 2866774, 3018845, 2939362, 9112678, 1973734, 15520493, 8561906, 8811507, 9137910, 6142588}"	8.24E-26	0.028783781	0.000779423
triglycidyl isocyanurate	dermatitis	12	37	61676	33810017	"{1386016, 2972516, 11156005, 8508645, 12165929, 30075342, 26940399, 1534738, 9153332, 8156756, 8970840, 20717691}"	2.41E-24	0.036153783	0.000194565
ravuconazole	candidiasis	13	212	16263	33810017	"{30968320, 15640704, 17927303, 24071640, 14693531, 12956208, 30284178, 33609301, 12654646, 16117974, 11155734, 15821782, 19803707}"	1.30E-23	0.011155026	0.000799361
opsumit	pah	8	13	24743	33810017	"{24728960, 27580996, 24297706, 26385839, 25060980, 27321813, 28671484, 24851934}"	1.05E-22	0.020473742	0.000323324
histalog	peptic ulcer	12	131	22482	33810017	"{186880, 908898, 14046306, 3066307, 7185354, 5848304, 935794, 8975987, 1019670, 4545495, 5311672, 1545375}"	2.20E-22	0.007432806	0.00053376
vitamin b12 injection	vitamin b12 deficiency	7	33	3103	33810017	"{21623649, 33180098, 24401542, 15768109, 1556528, 18653402, 34782847}"	2.32E-22	0.002220517	0.002255881
trabectedin	angiosarcoma	13	715	6104	33810017	"{20132000, 24712007, 24555529, 20943627, 25048045, 22987955, 29552543, 22035513, 29194075, 23714556, 21183581, 32400254, 29286911}"	3.49E-22	0.002754838	0.002129751
benralizumab	esophagitis	14	461	14101	33810017	"{33966304, 35283330, 33012326, 29611207, 34642091, 33236428, 31391853, 22541618, 34035732, 34620757, 32673880, 34422489, 34209213, 35072575}"	7.40E-22	0.014947993	0.000992837
acetazolamide injection	moyamoya disease	7	61	3720	33810017	"{24868419, 18648196, 32662761, 33687287, 32115416, 27913820, 8229245}"	8.42E-20	0.002038588	0.00188172
check	hypothyroidism	132	57134	33153	33810017	"{23306752, 23174158, 28852243, 23106067, 17542675, 28066326, 30937112, 2091548, 17379360, 23776802, 31998500, 30962212, 30915112, 24987693, 30799424, 34584649, 30746700, 34565724, 7958110, 22425701, 28657259, 27761265, 22966899, 3923574, 26775673, 29340281, 23240319, 7643782, 34447495, 8901256, 1443467, 33808529, 28572820, 15057049, 32522908, 27584159, 32963752, 34527401, 16320682, 23381164, 30541485, 32606895, 9157807, 27271351, 34250426, 24665276, 697532, 28290237, 10224835, 31093955, 33687750, 17080519, 34273482, 22442713, 24619737, 10434779, 19041504, 27839713, 6818530, 34107621, 7129318, 12357352, 23468266, 14557420, 12527852, 7976172, 31879407, 33112818, 30308083, 34660084, 32632053, 26110199, 24171256, 12064507, 23426813, 33177863, 32064267, 21726489, 28155174, 33599783, 28712235, 25083181, 9857330, 34671932, 34286911, 33061698, 11446082, 28603207, 15773513, 15242571, 17199436, 16322379, 34912598, 29599065, 22626661, 7702890, 22611832, 30029689, 6790016, 17205639, 34324873, 8545162, 31537563, 21068711, 30680490, 25180082, 21834678, 961467, 16682940, 30113215, 11786691, 33165252, 15291335, 35204553, 22405578, 24807886, 7056846, 33049040, 30306774, 3405782, 32176089, 7744994, 30827493, 19450344, 29562858, 23029740, 6523885, 24694766, 16358380, 35146739, 32041973, 10595833}"	3.82E-18	0.031908192	0.00398154
tofacitinib citrate	alopecia	7	32	18800	33810017	"{31581859, 28581223, 33301867, 27699252, 26889081, 27306107, 26630079}"	5.46E-17	0.012900664	0.00037234
4-tert-octylphenol	testicular	17	441	66299	33810017	"{12188353, 16631297, 23626723, 15820099, 15013063, 15669608, 17696135, 26476329, 18065196, 22560493, 19477298, 16520019, 25863316, 16537657, 26961849, 30698749, 14555198}"	7.92E-17	0.041299336	0.000256414
acetaminophen caffeine	headache	11	79	78728	33810017	"{30019592, 27169097, 12665160, 31379948, 799981, 24259597, 11417614, 18164918, 10770872, 2052380, 12680479}"	8.52E-17	0.053214011	0.000139722
p30	lymphomas	29	2885	44483	33810017	"{1325569, 6959750, 2826376, 178443, 197261, 9110287, 7121053, 6330269, 7513503, 6099618, 63529, 6320170, 6245301, 2538550, 87479, 3527992, 1867319, 1867320, 26224701, 2867660, 6311759, 6332242, 182358, 6512505, 7641436, 2417271, 31736441, 215676, 1140861}"	1.64E-16	0.103730408	0.000651934
quisqualic acid	cpp	10	477	11462	33810017	"{18515016, 1723755, 8723533, 1361582, 2552079, 2163120, 1882327, 1982456, 12571450, 1648059}"	2.64E-15	0.055549016	0.000872448
rehmanniae radix	tof	10	164	40056	33810017	"{31731809, 33930370, 29945379, 33975272, 31537418, 32495598, 30359761, 35181489, 30641909, 34047132}"	1.35E-14	0.071314421	0.00024965
oxotremorine	ovary	32	2319	84338	33810017	"{8263809, 7133321, 18664591, 17065363, 17392404, 19767446, 11303071, 10635059, 19858360, 9190843, 11504829, 1956033, 30554957, 34582990, 8666061, 12694864, 1331410, 10323410, 15655507, 19730136, 9882458, 27003873, 8569698, 10713961, 7929325, 22031472, 24558448, 11961078, 10188792, 10215674, 2550780, 19682302}"	3.01E-14	0.164380049	0.000379426
tretinoin microsphere	erythema	6	25	31261	33810017	"{20482688, 18724648, 19363857, 18479477, 11845943, 15916222}"	1.09E-13	0.016477836	0.000191932
amd3100	artery occlusion	16	1373	30238	33810017	"{34881088, 25010020, 23168453, 18711749, 24876262, 29669322, 23894446, 20437584, 27991729, 26253714, 24581269, 29776406, 18206136, 21836090, 34373723, 34794335}"	3.73E-13	0.009805547	0.000529136
3-ap	neutropenia	12	463	37773	33810017	"{17931556, 20981545, 19679886, 16537806, 19941936, 11809908, 27207797, 17851637, 22105720, 15117978, 19246715, 17585372}"	4.16E-13	0.023129156	0.000317687
reduced glutathione	amyloid	104	17853	89324	33810017	"{28163090, 19222556, 32383521, 12688419, 24442916, 20540983, 33053754, 32927809, 12606032, 17716817, 24690259, 23239252, 18423383, 25265752, 34170456, 12270688, 19694182, 34541159, 22810216, 20580465, 20688501, 31321719, 27566203, 27508860, 26071678, 32484999, 29330058, 34943114, 21116051, 26638997, 18208924, 28702365, 26142889, 32827572, 9522357, 23519932, 24866499, 25829572, 30101704, 33782984, 30970573, 23936214, 31618776, 29321950, 10691295, 25743585, 27654890, 35096303, 21448434, 23044340, 15639802, 32124160, 11897097, 27757835, 24747275, 12124438, 26535703, 29660442, 30227236, 34903846, 31159590, 32772909, 22045490, 34306377, 9804622, 12065621, 32030557, 34572130, 32528227, 34205542, 19702120, 33917814, 17027965, 10784133, 32486277, 31991177, 25048970, 30365070, 31198107, 26878879, 25880991, 27830689, 19102631, 24561065, 29782959, 26102198, 29627323, 15607739, 23333311, 23303629, 35001806, 18031570, 11578838, 28390878, 15674847, 26887646, 17822693, 27177966, 30395886, 25079793, 25545714, 29476851, 19557365, 33011197}"	5.89E-13	0.068297129	0.001164301
iodoquinol	abdominal pain	7	38	62537	33810017	"{16496064, 21524324, 9443114, 29503786, 10795375, 12918131, 20348509}"	8.89E-13	0.011653263	0.000111934
