a_term	b_term	len(a_b_intersect)	len(a_term_set)	len(b_term_set)	n_articles	pmid_intersection	pvalue	run_time	sort_ratio
ptpn1	leptin	23	207	37218	33810017	{15229188, 30674322, 26587547, 20401454, 23178931, 33400373, 17347513, 34705594, 32265274, 24360890, 22761160, 24793162, 30805963, 16845389, 25083988, 15919835, 18846048, 25288805, 30548198, 26461422, 16249458, 22811891, 16677372}	1.498707629590262e-38	0.031937084859237075	0.0006179805470471277
ifit2	interferons	17	174	12038	33810017	{30903969, 20398276, 34952932, 29666281, 26423178, 23459883, 32325933, 24198415, 20950130, 23570386, 26100021, 34724821, 24223959, 30871003, 18287094, 25243802, 21190939}	3.4308259459024206e-36	0.010859715985134244	0.001412194716730354
ucn3	astressin	10	155	365	33810017	{18052377, 19008330, 22306347, 23019211, 19060121, 15831766, 23686711, 26713785, 22000474, 28811708}	3.109361326409203e-35	0.0016817508731037378	0.0273972602739726
clcf1	ciliary neurotrophic factor	10	44	2089	33810017	{16782820, 30578761, 23355913, 30254251, 33682185, 31700175, 26198769, 34332274, 32522868, 31497877}	1.965205110774467e-33	0.0028743711300194263	0.004786979415988511
mst4	threonine	17	79	43068	33810017	{15037601, 20730082, 33049985, 31539108, 23889253, 24374310, 25642822, 19370760, 29550601, 25550858, 33244239, 28377200, 12810671, 32859632, 19386264, 30897078, 20592472}	4.526520642949732e-33	0.01955275796353817	0.00039472462152874524
ccnf	cellulose	19	101	65492	33810017	{29238786, 35007000, 30824103, 23911467, 35261240, 31931067, 31826497, 34081858, 30464452, 33946309, 31386955, 32296779, 29801824, 30732773, 32254950, 32234599, 35233896, 32260337, 33136375}	3.992302838345183e-32	0.039365652948617935	0.00029011176937641237
phospho1	alkaline phosphatase	17	61	74707	33810017	{26773408, 22887744, 32332097, 21622210, 19543559, 23183786, 23860651, 20053388, 32858255, 24825455, 25128529, 23694930, 26457330, 20684022, 24533943, 28844316, 29411103}	3.4874953920279903e-31	0.015792245976626873	0.000227555650742233
rab38	chocolate	11	98	5564	33810017	{11917121, 18413250, 17043139, 17724166, 30060521, 23426636, 15112108, 15843158, 32997883, 17671165, 18832574}	2.6252306703498685e-28	0.003373128129169345	0.001976994967649173
oxt	oxytetracycline	16	1150	5405	33810017	{1641863, 16237960, 23689096, 34131945, 3781133, 34649198, 1707742, 20298867, 29940436, 21190806, 21377143, 20800727, 21966107, 18251644, 2861053, 9700030}	6.046621061190337e-26	0.0034839059226214886	0.0029602220166512487
vipr2	adenylate	14	130	29563	33810017	{34366784, 17184482, 16934434, 21636738, 33960038, 10481065, 27194157, 12086606, 8938447, 12622830, 32581681, 34819858, 30077368, 29030297}	3.0275600426028585e-25	0.020529564935714006	0.00047356492913439095
kalrn	guanine	13	77	36482	33810017	{19800004, 25146373, 21329509, 23894151, 34928485, 23288169, 25224588, 17357071, 29241584, 19625617, 24755198, 30844509, 34848542}	4.622475819460816e-25	0.01923506404273212	0.00035634011293240504
rcn1	oryza sativa	11	101	11351	33810017	{19417056, 23987813, 26036614, 17237471, 25041515, 19140940, 27447607, 27169562, 32970268, 26708605, 24908511}	9.396959295163695e-25	0.004159416072070599	0.0009690776143071095
slc1a3	aspartate	17	130	83545	33810017	{33145952, 21528001, 17823970, 18207650, 28273090, 25981639, 23878504, 22392649, 29941933, 32363662, 23506861, 22374709, 25433240, 30122553, 31523835, 34110044, 30771902}	2.9830880439284686e-24	0.03818494803272188	0.00020348315279190856
scn2a	carbamazepine	16	541	15859	33810017	{30361185, 30813219, 18242854, 32400968, 32737897, 22188362, 34556045, 27876397, 34612084, 19620853, 30538486, 19694741, 28254201, 27888506, 32750235, 25155934}	8.894768838950805e-24	0.009844104992225766	0.0010088908506210984
klk4	trypsin	17	250	54074	33810017	{19549601, 27767076, 23451143, 34342281, 21556330, 20056842, 20128684, 30644845, 18627343, 10863090, 20302517, 20180634, 11735417, 18308730, 15389820, 31058493, 35013981}	1.929254349916887e-22	0.02946563484147191	0.00031438399230683875
il2rb	il-2	14	132	54357	33810017	{22306690, 31519812, 15630504, 21865161, 32582190, 30068596, 19471255, 31040184, 31040185, 20179739, 31068380, 32910717, 17108990, 23009887}	1.7651204712215852e-21	0.011766972951591015	0.00025755652445867136
trpc3	angiotensin ii	23	835	51857	33810017	{22027011, 21799177, 17082763, 29872396, 25859221, 25479966, 28711865, 31871548, 22992321, 32013125, 17903696, 30318928, 25631581, 25521631, 24453217, 30153442, 17699555, 25547873, 19029480, 17129578, 20352235, 28105583, 28181498}	2.5466547673374155e-21	0.01242400286719203	0.00044352739263744527
etnk1	ethanolamine	7	25	6944	33810017	{31255331, 31788037, 34234346, 33230096, 25615281, 33860081, 24612955}	7.36389079857922e-21	0.007038215873762965	0.0010080645161290322
pdss1	ubiquinone	7	28	8205	33810017	{20889762, 18784258, 19096106, 32194061, 22231380, 28540186, 17332895}	5.828436630753272e-20	0.005081321112811565	0.0008531383302864108
kiaa1549	formalin	13	163	41358	33810017	{28863456, 28210881, 32108034, 23278243, 26681766, 28686121, 33626378, 33282733, 31321520, 31087282, 21884820, 29802359, 21696415}	6.51170493109077e-20	0.023025184171274304	0.0003143285458677886
coq5	saccharomyces cerevisiae	10	32	71232	33810017	{29804512, 25152161, 12393187, 26183239, 9083048, 9083049, 25084328, 9266513, 14701817, 12069115}	1.065011284592634e-19	0.01243215287104249	0.0001403863432165319
fgfr2	cisplatin	37	2744	66588	33810017	{29893894, 32748173, 20943632, 33708816, 32742928, 27014419, 27747093, 33493146, 21173787, 27829278, 25648542, 34502435, 33118510, 24839986, 33451059, 32523960, 23027129, 33325754, 22990650, 31954497, 32203843, 30652228, 27102149, 30905548, 32677452, 31908303, 34720591, 18728788, 33641556, 32781527, 33799514, 33307867, 20595807, 32580579, 32668516, 31115494, 19903855}	4.085264051463768e-19	0.08305808389559388	0.00055565567369496
gaa	s-adenosylmethionine	15	2704	6524	33810017	{24256608, 19017728, 17056803, 23869894, 26110793, 23243244, 24842317, 32152623, 27207152, 22384273, 22536786, 26031828, 24103317, 17928413, 19682207}	2.577181159325968e-17	0.004284527152776718	0.002299202942979767
dnase1l2	dnase	6	15	16063	33810017	{25576224, 17459041, 33802146, 28394916, 26045045, 20967767}	5.7292116030148e-17	0.009546741843223572	0.0003735292286621428
lrrc17	leucine	7	13	56140	33810017	{27355564, 35071469, 19580846, 33986831, 33865167, 16473681, 19336404}	5.917745068460028e-17	0.02847087988629937	0.00012468827930174563
il12b	ustekinumab	8	641	2286	33810017	{33243781, 20415816, 26678060, 30693647, 23468464, 29651889, 27564082, 27780253}	2.810342807337897e-16	0.001887564081698656	0.003499562554680665
fgfr1	pdgf-bb	14	3832	4289	33810017	{21441409, 9673410, 32116646, 29423271, 11012680, 11356202, 29454091, 18940940, 26569132, 10528236, 19339244, 19197140, 17909625, 21241502}	2.8763845031701757e-16	0.0031286829616874456	0.0032641641408253674
chst11	glycosaminoglycans	7	53	14448	33810017	{26084610, 26436107, 21658254, 16079159, 25445787, 25943740, 34788765}	3.9369755929434825e-16	0.009091102983802557	0.00048449612403100775
atm	pifithrin	13	16780	822	33810017	{31021056, 26240351, 17855337, 16777994, 18223691, 24952138, 24380814, 33501840, 19941874, 21715570, 26636375, 15466201, 18820287}	8.682497710969514e-16	0.0019351430237293243	0.015815085158150853
cyb5r3	nicotinamide	8	78	22987	33810017	{31650629, 31282472, 19579085, 32180563, 33342963, 29356095, 26291966, 34932415}	1.0249077967509335e-15	0.01325063081458211	0.0003480227954931048
kcnq2	inositol	16	742	38393	33810017	{28793216, 23630337, 23630338, 26682807, 17239488, 15173220, 12832515, 15800195, 32694024, 16721610, 24463883, 27217553, 22847441, 24560147, 28283543, 32111967}	1.2036762405139361e-15	0.026939129922538996	0.00041674263537624045
wdr11	gnrh	7	42	22819	33810017	{25071724, 32982993, 34741523, 31726455, 24456696, 22218430, 28209183}	1.6842208008450474e-15	0.021576958941295743	0.00030676190893553617
nagk	ornithine	8	108	17445	33810017	{28294536, 33758091, 20399792, 16545809, 19409905, 32805427, 26356535, 25416954}	1.686451429508381e-15	0.015210283920168877	0.0004585841215247922
calhm1	adenosine triphosphate	8	98	19598	33810017	{31912931, 24846212, 28597712, 32832629, 33212982, 25855639, 29534490, 26136251}	1.9120201215505004e-15	0.004900214960798621	0.0004082049188692724
wnt3	activin	9	464	7512	33810017	{21829697, 16456129, 26406115, 16950123, 29269485, 35302162, 18042803, 32127035, 21793661}	3.046866781980336e-15	0.0030788970179855824	0.0011980830670926517
rxfp3	corticotropin releasing factor	7	159	6459	33810017	{23380674, 19416196, 30412752, 27245781, 23432696, 21329721, 17071007}	4.023438796802044e-15	0.0026924489066004753	0.0010837590958352687
ifna1	poly i:c	6	85	5342	33810017	{19007809, 19632268, 34413772, 20494444, 19063917, 22634299}	6.7130970111331355e-15	0.003636063076555729	0.0011231748408835642
ltf	(-)-anisomycin	7	930	1709	33810017	{12629184, 11709159, 22885063, 7869098, 12884266, 24695698, 16801498}	9.332600087608474e-14	0.002491889987140894	0.004095962551199532
klhl3	fosinopril/hydrochlorothiazide	6	97	7262	33810017	{30148674, 32956652, 34622611, 34622103, 35093948, 32774943}	9.522069961749614e-14	0.0011580639984458685	0.0008262186725419994
ephb1	erythropoietin	9	224	26552	33810017	{31429216, 29901151, 33880135, 23835497, 23118026, 32509099, 31966900, 26941654, 31297055}	3.241183964637124e-13	0.13236619788222015	0.00033895751732449534
grasp	metric	38	9511	32177	33810017	{34560898, 26788611, 20563715, 24725379, 32769159, 34222349, 31841421, 20169103, 25225229, 22884632, 32390812, 23372969, 28865706, 33628332, 32519597, 24307250, 23335864, 25144889, 11728315, 21237442, 34702281, 32281802, 30763465, 12424277, 34458325, 32983641, 35016159, 25378276, 20187878, 33501286, 31941998, 26780786, 29100659, 27338101, 35016694, 29933175, 31518325, 28722685}	6.24485747264156e-13	0.01954463915899396	0.0011809677720110638
eif4a3	cck-8	7	145	16583	33810017	{35038081, 34457059, 34727877, 34743403, 34931691, 32857753, 31923741}	1.4837363630624838e-12	0.004158452153205872	0.00042211903756859433
p2ry12	dipyridamole/ aspirin	10	187	58015	33810017	{27653792, 29805889, 22574824, 25778862, 25093390, 34589424, 28070995, 26297398, 29807287, 24262617}	1.8927587893493265e-12	0.006074234144762158	0.00017236921485822633
clpx	puromycin	7	463	5388	33810017	{9987112, 31109995, 12531029, 31741013, 9003766, 12057945, 9643546}	2.1098951712063463e-12	0.00297531601972878	0.0012991833704528583
rpl23	barley	7	135	19243	33810017	{11919712, 1400453, 1752425, 9484490, 26774059, 21255416, 31292475}	2.510088096682767e-12	0.013990561943501234	0.0003637686431429611
ppard	lipase	10	310	38639	33810017	{22606049, 12379172, 23039238, 22553224, 23109900, 19074989, 19818126, 26354227, 33794741, 22573014}	5.422978749633e-12	0.02414395404048264	0.00025880586971712517
hmgb1	gemcitabine	23	7108	17457	33810017	{34374662, 26157323, 29929491, 35251348, 23707808, 33915939, 34187428, 29069735, 29054890, 26124331, 32970929, 29296182, 33288764, 24574398, 29113279, 25544770, 27899980, 35224793, 33976027, 26504030, 31921387, 32456685, 27840243}	1.0894465791797567e-11	0.02048915787599981	0.0013175230566534915
gnat3	sucrose	7	48	70827	33810017	{26633761, 32138214, 30891559, 22977065, 31005972, 20660057, 20660058}	1.2087844833521637e-11	0.040527730947360396	9.883236618803564e-05
hk3	chymotrypsin	6	117	15989	33810017	{9368023, 19079621, 11027412, 16740631, 9579386, 11983421}	3.3414168323259585e-11	0.00922672194428742	0.00037525798986803426
ei24	glycerol	7	82	50731	33810017	{32969539, 25410277, 34556134, 29523151, 26925616, 33388600, 24885467}	5.897224244793357e-11	0.028646788094192743	0.00013798269302793163
mtx1	methotrexate	6	50	44085	33810017	{19139435, 23173263, 9119095, 16011736, 19452347, 24881917}	7.432126501277921e-11	0.03139325696974993	0.00013610071452875127
ywhaz	mesenchymal stem cells	11	455	46719	33810017	{20440577, 25972899, 25976103, 29804170, 27484587, 20716364, 31996081, 23305553, 31240211, 30151091, 33224342}	7.667091461186568e-11	0.010308689204975963	0.00023545024508230057
chgb	catecholamines	6	71	31403	33810017	{23786442, 18180394, 20888525, 20089903, 21104344, 24266713}	8.727328706843344e-11	0.018335527973249555	0.0001910645479731236
pdcd5	propidium	6	171	14784	33810017	{25436001, 25881604, 16224516, 25311560, 25625867, 20693715}	2.0861110020359645e-10	0.007147075142711401	0.00040584415584415587
abcc4	(+)-camptothecin	6	491	5969	33810017	{14973057, 18559527, 23461902, 28677646, 19073137, 17943230}	5.297420540080265e-10	0.005445905029773712	0.0010051934997487016
serinc5	glycoproteins	6	80	43997	33810017	{32441921, 34520227, 28179429, 27879338, 34209034, 34140527}	1.343172783689613e-09	0.029039459070190787	0.0001363729345182626
sos2	wheat	9	243	64329	33810017	{24953696, 28013410, 32157475, 19895399, 26854409, 24223981, 25447637, 21573979, 33339903}	1.5339510027634764e-09	0.04398277914151549	0.00013990579676351257
cd207	il-4	9	330	47588	33810017	{22587683, 12884872, 34925005, 16614258, 19996179, 11978773, 17508021, 25262462, 31214623}	1.6538891094383565e-09	0.011454153107479215	0.00018912330839707488
tnnt2	brain natriuretic peptide	6	400	10173	33810017	{34977031, 16137545, 29262570, 31759053, 26859196, 33476543}	3.6676213373327304e-09	0.003208925947546959	0.0005897965202005308
drosha	inosine	7	1049	8000	33810017	{30652130, 18684997, 24829383, 16369484, 17599088, 25751603, 19776031}	9.078171896307858e-09	0.0030520937871187925	0.000875
apaf1	(-)-etoposide	7	438	20949	33810017	{20642818, 32528131, 24416260, 11346470, 18524851, 32210205, 28542143}	1.62206009749215e-08	0.014648593962192535	0.0003341448279154136
tas1r3	glutamine	6	153	39562	33810017	{16901953, 22189795, 14999080, 17911381, 27422518, 31940281}	3.572702393450963e-08	0.02260991418734193	0.00015166068449522268
araf	dha	7	680	15914	33810017	{7997476, 31521285, 9842725, 9202408, 27693835, 33291310, 8149369}	5.0137313745528494e-08	0.015287158079445362	0.00043986427045368857
trh	dimethyltryptamine	7	11540	949	33810017	{2992995, 3117574, 3137080, 2470455, 1713112, 3040985, 2466686}	5.4737321459728325e-08	0.0018305170815438032	0.007376185458377239
piga	mannose	7	411	29117	33810017	{8799812, 25081925, 2691913, 15247922, 6504051, 17050773, 3002970}	9.67480769990192e-08	0.016884383046999574	0.00024040938283477006
wnt11	fibroblast growth factor-	8	493	37440	33810017	{28217097, 11917104, 18639218, 29481398, 31463993, 19741018, 21903675, 22961180}	1.147377724514301e-07	0.010028821881860495	0.00021367521367521368
adora2b	camp	7	144	88747	33810017	{22038827, 30341547, 25087184, 26385692, 16177079, 29222395, 19253308}	1.3772066560742934e-07	0.06297205481678247	7.887590566441683e-05
pdp1	lysine	6	120	73661	33810017	{11842080, 24486017, 24962578, 28400503, 19250904, 22150589}	3.1575934357652415e-07	0.041652949061244726	8.145422951086735e-05
isl1	streptozotocin	8	690	31610	33810017	{23369186, 22490341, 21039304, 25829452, 23828045, 21060975, 32544883, 25774684}	4.056409119492284e-07	0.016989730997011065	0.0002530844669408415
plg	histidine	13	1725	42253	33810017	{15613921, 3160707, 35038117, 25937317, 2942536, 6438154, 4008652, 1691660, 12770769, 30512152, 7873529, 9801434, 2713371}	4.6104794066756526e-07	0.09526235400699079	0.00030767046126902234
rpl32	succinate	6	394	24926	33810017	{23810185, 21324174, 18489742, 34591086, 27974876, 23777660}	6.283480519060094e-07	0.017742021940648556	0.0002407125090267191
ccl3	imiquimod	6	2676	3908	33810017	{30037731, 20124101, 22131335, 26701127, 27160148, 31475447}	9.258476140941425e-07	0.002834456041455269	0.0015353121801432957
cast	vanadium	26	31173	9310	33810017	{35160966, 18960775, 17277832, 35009431, 17849370, 12908315, 31978911, 34920871, 33918761, 16543023, 10612915, 33668661, 20863549, 12141377, 20500418, 20936784, 33383252, 30274137, 32456925, 31776352, 9678051, 12901996, 17211501, 28139765, 14511738, 18966140}	1.2484119273137354e-06	0.005563054932281375	0.0027926960257787323
bcr	sphingosine	22	20119	11287	33810017	{25632006, 20039302, 18401414, 31394186, 17303574, 18714009, 23740954, 21756066, 21392556, 21195056, 29441205, 25127862, 33801658, 21500096, 17599053, 9473236, 21527515, 18718048, 19843950, 19502585, 24812669, 20956287}	2.343043091385177e-06	0.012137171113863587	0.0019491450341100381
vcp	peroxides	6	1715	8222	33810017	{12540833, 29067017, 11522350, 17462542, 22946963, 30853656}	5.0724951120081935e-06	0.0039014089852571487	0.0007297494526879105
rpgr	senior	6	443	37648	33810017	{20664800, 16339905, 17558407, 17896309, 15723066, 20090203}	1.2762551858224058e-05	0.020259449956938624	0.0001593710157246069
phgdh	cysteine	7	276	98871	33810017	{29674746, 34720086, 35127383, 30894617, 17510490, 29928571, 34971423}	2.0658946581827198e-05	0.052683691028505564	7.079932437216171e-05
nrp2	heparin	7	383	80472	33810017	{22318724, 12613542, 15183303, 12613545, 29095088, 16330548, 28096505}	4.507170055025583e-05	0.052309339167550206	8.698677800974252e-05
scd	measles vaccine	7	13919	2327	33810017	{24933569, 23676551, 23550539, 23302892, 35223990, 23612727, 23719065}	6.34145516463111e-05	0.002442185999825597	0.0030081650193382035
dlk1	growth hormone	8	845	57507	33810017	{24034272, 30836360, 23059197, 17485162, 17446189, 25349437, 28718206, 23279263}	0.0001244015737340504	0.011708797886967659	0.00013911349922618115
egr3	progesterone	6	295	86054	33810017	{10866682, 10412365, 20670676, 25731188, 29045588, 11301594}	0.00012630766735882953	0.0523561539594084	6.97236618867223e-05
stc1	estradiol	6	308	82623	33810017	{11832417, 21139325, 15486227, 23985690, 18845628, 15131261}	0.0001281850731070397	0.04997155908495188	7.261900439344976e-05
gba	creatine	9	1417	44219	33810017	{21079396, 3663013, 7110471, 19358571, 1939088, 30631446, 8899736, 7289881, 11976926}	0.00013388499568118645	0.06786954496055841	0.00020353241819127523
carm1	estradiol/norethindrone	6	373	83277	33810017	{26505218, 12394257, 19364822, 23434684, 15525597, 17166846}	0.000371698898471963	0.004891288001090288	7.204870492452899e-05
rhd	papain	6	3646	8622	33810017	{26741153, 31066790, 12447910, 28970678, 8958646, 15541850}	0.0004055554567033047	0.004407295025885105	0.0006958942240779402
satb1	hepatitis b	6	490	83826	33810017	{27660672, 20541537, 25338958, 27883059, 28801365, 31147803}	0.001564549396524328	0.0254051701631397	7.157683773530885e-05
ryr1	statins	6	1691	30541	33810017	{34348614, 34166122, 29278865, 14570802, 31861911, 24004537}	0.004832032960049776	0.1681067601311952	0.00019645722144003144
ncl	hydrogen peroxide	10	2134	58691	33810017	{29363650, 24768266, 29339453, 11511181, 3146318, 23533485, 29549937, 11800600, 26507545, 3632669}	0.00484525412315728	0.014061519876122475	0.0001703838748700823
f3	polyvinyl alcohol	7	10316	6804	33810017	{32128003, 21942308, 21496134, 24403658, 23510799, 31172376, 23869789}	0.005506110693914631	0.004739840980619192	0.00102880658436214
pf4	mab	8	2169	44875	33810017	{1377413, 32187355, 22394597, 10688805, 1737641, 29350833, 18539895, 29540475}	0.009439726283978956	0.03356563695706427	0.00017827298050139277
